[2022-11-21 00:40:48.444][WE  ][v0.1.0 r10   ][WARNING ] Patching all: com.klyte.redirectors.WE
[2022-11-21 00:47:38.341][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][1/1874] Scanning asset: [1173879803.Two Lane Highway Bridge Pillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.341][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][2/1874] Scanning asset: [1173880815.Two Lane Highway Bridge Pillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.341][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][3/1874] Scanning asset: [1173882928.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.341][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][4/1874] Scanning asset: [1173882928.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.341][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][5/1874] Scanning asset: [1177566109.MediumBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.341][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][6/1874] Scanning asset: [1184594228.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.341][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][7/1874] Scanning asset: [1184594228.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.341][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][8/1874] Scanning asset: [1187016782.HighwayBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.341][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][9/1874] Scanning asset: [1187016782.LargeRoadBridgeSuspensionPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][10/1874] Scanning asset: [1197304886.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][11/1874] Scanning asset: [1197304886.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][12/1874] Scanning asset: [1197306267.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][13/1874] Scanning asset: [1197306267.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][14/1874] Scanning asset: [1197307637.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][15/1874] Scanning asset: [1197307637.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][16/1874] Scanning asset: [1197310254.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][17/1874] Scanning asset: [1197310254.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][18/1874] Scanning asset: [1197311428.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][19/1874] Scanning asset: [1197311428.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][20/1874] Scanning asset: [1221984249.HighwayBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][21/1874] Scanning asset: [1221984249.LargeRoadBridgeSuspensionPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][22/1874] Scanning asset: [1223954908.HighwayBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][23/1874] Scanning asset: [1223954908.MediumBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
